"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"[CRACK] #Messi sali√≥ a refutar un viejo refr√°n ingl√©s. https://t.co/12HwO028IP https://t.co/jCwHGNSS9y",FALSE,0,NA,2016-01-19 20:24:20,FALSE,NA,"689543936650670080",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DXTVparatodos",0,FALSE,FALSE,NA,NA
"#Messi igual√≥ a Alfredo Di Stefano en la cantidad de partidos jugados por @LaLiga ¬°QUE GENIO! 
(Cr√©dito:Sport.es) https://t.co/2ZqfYfEUOt",FALSE,1,NA,2016-01-19 20:23:12,FALSE,NA,"689543651597406209",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SamuelNetwork",0,FALSE,FALSE,NA,NA
"Costadelfootgolf #Barcaball #Messi https://t.co/OXCiHh1TxF via @YouTube",FALSE,0,NA,2016-01-19 20:22:09,FALSE,NA,"689543389419802624",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","costadefootgolf",0,FALSE,FALSE,NA,NA
"Con estos 2 todo lo dem√°s me sobra.. Ì†ΩÌ∏ç 
@LuisSuarez9 #LeoMessi https://t.co/OeRA7v6Tds",FALSE,1,NA,2016-01-19 20:22:17,FALSE,NA,"689543423309791234",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Adri_LS9",0,FALSE,FALSE,NA,NA
"But can @TeamMessi do it on a cold and rainy night in @stokecity?https://t.co/VfnVut7Ivv #Stokealona #D10S #LeoMessi",FALSE,0,NA,2016-01-19 20:15:27,FALSE,NA,"689541701887774721",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","akademix17",0,FALSE,FALSE,NA,NA
"MSN in 2016:

@leoMessi
6 goals
3 Assists

@luissuarez9 
3 goals
3 Assists

@neymarjr
3 goals
2 Assists..
#leomessi‚Ä¶ https://t.co/es6ycZncit",FALSE,0,NA,2016-01-19 20:05:14,FALSE,NA,"689539129776955393",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","barcestuff",0,FALSE,FALSE,NA,NA
"Diego Simeone on MessiÌ†ΩÌπåÌ†ºÌøªÌ†ºÌøÜ
Tag friends!Ì†ΩÌ±áÌ†ºÌøª
____
#FcBarcelona #FCB #Barca #ViscaBarca #ForcaBarca #LeoMessi #LionelMes‚Ä¶ https://t.co/Gj7xfZrjpy",FALSE,0,NA,2016-01-19 20:05:08,FALSE,NA,"689539104627892225",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","barcestuff",0,FALSE,FALSE,NA,NA
"Leomessifenomeno Ì†ΩÌ≤™Ì†ΩÌ≤ôÌ†ΩÌ∏ç @leomessi Ì†ΩÌ¥•Ì†ΩÌπèÌ†ΩÌπå
#LeoMessi #LM10 #D10S #SiempreLeo #SiempreMessi #Argentina #Afa #Adidas #Barcelo‚Ä¶ https://t.co/bCnTGwunb2",FALSE,0,NA,2016-01-19 20:05:04,FALSE,NA,"689539089926885377",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","barcestuff",0,FALSE,FALSE,NA,NA
"Leomessifenomeno Ì†ΩÌ≤™Ì†ΩÌ≤ôÌ†ΩÌ∏ç @leomessi Ì†ΩÌ¥•Ì†ΩÌπèÌ†ΩÌπå
#LeoMessi #LM10 #D10S #SiempreLeo #SiempreMessi #Argentina #Afa #Adidas #Barcelo‚Ä¶ https://t.co/qqT6hKjamV",FALSE,0,NA,2016-01-19 20:05:02,FALSE,NA,"689539082314235904",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","barcestuff",0,FALSE,FALSE,NA,NA
"Leomessifenomeno Ì†ΩÌ≤™Ì†ΩÌ≤ôÌ†ΩÌ∏ç @leomessi Ì†ΩÌ¥•Ì†ΩÌπèÌ†ΩÌπå
#LeoMessi #LM10 #D10S #SiempreLeo #SiempreMessi #Argentina #Afa #Adidas #Barcelo‚Ä¶ https://t.co/PcJa0jonNY",FALSE,0,NA,2016-01-19 20:04:59,FALSE,NA,"689539066371653632",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","barcestuff",0,FALSE,FALSE,NA,NA
"MSN in 2016:

@leoMessi
6 goals
3 Assists

@luissuarez9 
3 goals
3 Assists

@neymarjr
3 goals
2 Assists..
#leomessi‚Ä¶ https://t.co/NNE4WgHa2p",FALSE,1,NA,2016-01-19 19:55:45,FALSE,NA,"689536743121489920",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","barcestuff",0,FALSE,FALSE,NA,NA
"Start from the bottom now he's hereÌ†ΩÌ±èÌ†ºÌøª #lionelmessi #lionel #messi #leomessi #leo #fcbarcel‚Ä¶ https://t.co/9GIW9AFFxf https://t.co/nLjJTWR1mk",FALSE,1,NA,2016-01-19 19:23:11,FALSE,NA,"689528549808721920",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","CampNou_IG",0,FALSE,FALSE,NA,NA
"#LionelMessi appreciate what you have https://t.co/8RKWpcgO9B",FALSE,0,NA,2016-01-19 20:25:24,FALSE,NA,"689544207497850880",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Hannah_Inns",0,FALSE,FALSE,NA,NA
"FIFA Not Happy With Pep‚Äôs Ballon d‚ÄôOr Ceremony Absence https://t.co/Z2vo8bnJJW #Sports #BallondOr #Barcelona #CristianoRonaldo #LionelMessi",FALSE,0,NA,2016-01-19 20:24:39,FALSE,NA,"689544016690487296",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","NewsRIB",0,FALSE,FALSE,NA,NA
"Can You Help People Find This Kid So Th... https://t.co/Q6BULBxN7t #messi #lionelmessi #argentina #futbol #Iraq",FALSE,0,NA,2016-01-19 20:04:49,FALSE,NA,"689539027335266305",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","duval_menina",0,FALSE,FALSE,NA,NA
"(FOTOS) ¬øC√≥mo ser√≠a el once del futuro sin #CristianoRonaldo y #LionelMessi? https://t.co/4yNXazmnKb https://t.co/AM7moEtBGO",FALSE,0,NA,2016-01-19 20:01:45,FALSE,NA,"689538256141172736",NA,"<a href=""http://www.botize.com"" rel=""nofollow"">Botize</a>","ErnestoSaenzU",0,FALSE,FALSE,NA,NA
"(FOTOS) ¬øC√≥mo ser√≠a el once del futuro sin #CristianoRonaldo y #LionelMessi? https://t.co/GBkXlC7DUC https://t.co/T3EbMFn5U1",FALSE,1,NA,2016-01-19 20:01:14,FALSE,NA,"689538122842050561",NA,"<a href=""http://www.botize.com"" rel=""nofollow"">Botize</a>","NatiHPerez",0,FALSE,FALSE,NA,NA
"(FOTOS) ¬øC√≥mo ser√≠a el once del futuro sin #CristianoRonaldo y #LionelMessi? https://t.co/Nt2iSQEXAF https://t.co/g13TXqOx5K",FALSE,1,NA,2016-01-19 20:00:24,FALSE,NA,"689537914645032960",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","deporpe",0,FALSE,FALSE,NA,NA
"#ÿ™ÿµŸÖŸäŸÖŸä 

#Wallpaper 
#avatar 
#ŸÑŸäŸàŸÜŸäŸÑ_ŸÖŸäÿ≥Ÿä
#ŸÖŸäÿ≥Ÿä
#LionelMessi 
#ÿÆŸÑŸÅŸäÿßÿ™
@Sir_Musfer 
@uae_64 
ÿ±ÿ£ŸäŸÉŸÖ ÿüÿü https://t.co/FgeiuR1p5j",FALSE,1,NA,2016-01-19 19:36:59,FALSE,NA,"689532020368773122",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","aljookr__90",0,FALSE,FALSE,NA,NA
"Start from the bottom now he's hereÌ†ΩÌ±èÌ†ºÌøª #lionelmessi #lionel #messi #leomessi #leo #fcbarcel‚Ä¶ https://t.co/9GIW9AFFxf https://t.co/nLjJTWR1mk",FALSE,1,NA,2016-01-19 19:23:11,FALSE,NA,"689528549808721920",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","CampNou_IG",0,FALSE,FALSE,NA,NA
