"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Ronaldo has earned 859,040 euros so far this year. #CR7 #HalaMadrid #RealMadrid #Cristiano",FALSE,0,NA,2016-01-19 20:25:09,FALSE,NA,"689544141311754240",NA,"<a href=""http://www.insertsitehere.com"" rel=""nofollow"">dinheironaldo</a>","DinheiRonaldo",0,FALSE,FALSE,NA,NA
"Ronaldo has earned 859,008 euros so far this year. #CR7 #HalaMadrid #RealMadrid #Cristiano",FALSE,0,NA,2016-01-19 20:24:06,FALSE,NA,"689543880879034369",NA,"<a href=""http://www.insertsitehere.com"" rel=""nofollow"">dinheironaldo</a>","DinheiRonaldo",0,FALSE,FALSE,NA,NA
"Ronaldo has earned 858,976 euros so far this year. #CR7 #HalaMadrid #RealMadrid #Cristiano",FALSE,0,NA,2016-01-19 20:23:05,FALSE,NA,"689543624040824833",NA,"<a href=""http://www.insertsitehere.com"" rel=""nofollow"">dinheironaldo</a>","DinheiRonaldo",0,FALSE,FALSE,NA,NA
"Ronaldo has earned 858,944 euros so far this year. #CR7 #HalaMadrid #RealMadrid #Cristiano",FALSE,0,NA,2016-01-19 20:22:06,FALSE,NA,"689543376027435009",NA,"<a href=""http://www.insertsitehere.com"" rel=""nofollow"">dinheironaldo</a>","DinheiRonaldo",0,FALSE,FALSE,NA,NA
"Ronaldo has earned 858,912 euros so far this year. #CR7 #HalaMadrid #RealMadrid #Cristiano",FALSE,1,NA,2016-01-19 20:21:05,FALSE,NA,"689543121756147712",NA,"<a href=""http://www.insertsitehere.com"" rel=""nofollow"">dinheironaldo</a>","DinheiRonaldo",0,FALSE,FALSE,NA,NA
"Ronaldo has earned 858,880 euros so far this year. #CR7 #HalaMadrid #RealMadrid #Cristiano",FALSE,1,NA,2016-01-19 20:20:10,FALSE,NA,"689542887529381889",NA,"<a href=""http://www.insertsitehere.com"" rel=""nofollow"">dinheironaldo</a>","DinheiRonaldo",0,FALSE,FALSE,NA,NA
"Ronaldo has earned 858,848 euros so far this year. #CR7 #HalaMadrid #RealMadrid #Cristiano",FALSE,0,NA,2016-01-19 20:19:06,FALSE,NA,"689542620788461568",NA,"<a href=""http://www.insertsitehere.com"" rel=""nofollow"">dinheironaldo</a>","DinheiRonaldo",0,FALSE,FALSE,NA,NA
"FIFA Not Happy With Pepâ€™s Ballon dâ€™Or Ceremony Absence https://t.co/Z2vo8bnJJW #Sports #BallondOr #Barcelona #CristianoRonaldo #LionelMessi",FALSE,0,NA,2016-01-19 20:24:39,FALSE,NA,"689544016690487296",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","NewsRIB",0,FALSE,FALSE,NA,NA
"#Workout #Exercise 4 Great Superfoods for Weight Loss!â€¦ https://t.co/C69af7W5vp #CristianoRonaldo https://t.co/RtQJzh195f",FALSE,0,NA,2016-01-19 20:20:11,FALSE,NA,"689542892986073088",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","CRonaldoFans15",0,FALSE,FALSE,NA,NA
"#Ronaldo Real #Madrid #CristianoRonaldo #Soccer #Jersey all sizes 2 Day Shipping https://t.co/4aHEiZ8u0i #RealMadrid https://t.co/dpcxyBaMpn",FALSE,0,NA,2016-01-19 20:17:04,FALSE,NA,"689542109586583552",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","CRonaldoFans15",2,FALSE,FALSE,NA,NA
"â€œHe was a child that I wanted to abort...God didnâ€™t want that to happen"" https://t.co/cundSnPmIC #CristianoRonaldo #BiggerThanLebron",FALSE,1,NA,2016-01-19 20:10:19,FALSE,NA,"689540412214792192",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","annekristoff",0,FALSE,FALSE,NA,NA
"Â¡Quien es mejor #messi vs #ronaldo!
#Preguntadelmillon",FALSE,0,NA,2016-01-19 20:19:25,FALSE,NA,"689542698542432256",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ramirolopez89",0,FALSE,FALSE,NA,NA
"#Ronaldo Real #Madrid #CristianoRonaldo #Soccer #Jersey all sizes 2 Day Shipping https://t.co/4aHEiZ8u0i #RealMadrid https://t.co/dpcxyBaMpn",FALSE,0,NA,2016-01-19 20:17:04,FALSE,NA,"689542109586583552",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","CRonaldoFans15",2,FALSE,FALSE,NA,NA
"Portugal to face Bulgaria and Belgium in March friendlies ---&gt; https://t.co/rubWpZJqmr #Portugal #Ronaldo #Euro2016 https://t.co/otaB9YCea3",FALSE,1,NA,2016-01-19 20:16:32,FALSE,NA,"689541975368933378",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","IntSoccerTeams",0,FALSE,FALSE,NA,NA
"je meurs, Ã  l'ancienne j'lest retrouvÃ© í ½í¸‚í ½í¸‚ https://t.co/PRlM7Vrtae #ronaldo",FALSE,0,NA,2016-01-19 20:14:45,FALSE,NA,"689541525039112192",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","idcofall",0,FALSE,FALSE,NA,NA
