"CITY","COUNTRY","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Los Angeles","USA","Feel like what? See that's why I'm not out of bed yet. https://t.co/RIOKeSm2c3",FALSE,0,NA,2016-01-19 16:36:15,FALSE,NA,"689486540351799297",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","MyNinjaTurtle",0,FALSE,FALSE,"-76.97305069","38.93089765"
"Los Angeles","USA","Leaving the Gym! I left all on the floor! I feel good! My Body, mind and Spirit! I'm preparing‚Ä¶ https://t.co/iWmRrIBk13",FALSE,0,NA,2016-01-19 06:16:06,FALSE,NA,"689330471868694528",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","TitilayoBankole",0,FALSE,FALSE,"-76.84223943","38.91912791"
"Los Angeles","USA","Didn't know peace could feel so good Ì†ΩÌ≤Ø I wish him nothing but the‚Ä¶ https://t.co/1aGIwFuE3Q",FALSE,0,NA,2016-01-19 02:54:57,FALSE,NA,"689279851820400640",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","BentleyDeKaine",0,FALSE,FALSE,"-76.97500253","38.90499618"
"Los Angeles","USA","It was really cold until I reminded myself that water hoses, dogs, beatings, etc. had to feel‚Ä¶ https://t.co/t1Wt0Pe1lw",FALSE,0,NA,2016-01-19 01:00:29,FALSE,NA,"689251044136583168",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","marriagenectar",0,FALSE,FALSE,"-76.82134361","38.90343575"
"Los Angeles","USA","It's so cold in DC I left Maggiano's, got in the car, turned heat on, and just sat there for 20mins. Real feel 7Ì†ΩÌ∏í https://t.co/0p78THXJcU",FALSE,0,NA,2016-01-19 00:47:50,FALSE,NA,"689247859653357571",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","MyNinjaTurtle",0,FALSE,FALSE,"-76.980013","38.939436"
"Los Angeles","USA","I feel so fancy getting to hang out with misszozobozo @ Washington,‚Ä¶ https://t.co/rva6sVNpws",FALSE,0,NA,2016-01-18 23:39:22,FALSE,NA,"689230633130921985",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Catter05",0,FALSE,FALSE,"-77.0367","38.8951"
"Los Angeles","USA","I feel like I'm drinking in 1983. - Drinking a Stroh's by @pabstblueribbon @ The Pug  ‚Äî https://t.co/GQoSAT3hsp",FALSE,0,NA,2016-01-18 23:28:40,FALSE,NA,"689227938156408832",NA,"<a href=""https://untappd.com"" rel=""nofollow"">Untappd</a>","morskieeatsdc",0,FALSE,FALSE,"-76.989","38.9003"
"Los Angeles","USA","@Tebow815 so lucky! I bet you feel refreshed!",FALSE,0,"Tebow815",2016-01-18 11:11:09,FALSE,"689015654150750209","689042334722334721","148130330","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","OhMyGOFF",0,FALSE,FALSE,"-77.08115587","38.94037578"
"Los Angeles","USA","I feel like sooner or later me nd her wont be on the same page nd juss give up on us Ì†ΩÌ∏íÌ†ΩÌ≤Ø",FALSE,0,NA,2016-01-18 02:57:17,FALSE,NA,"688918049806749696",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","twan_bitchh",0,FALSE,FALSE,"-76.9315812","38.9042284"
"Los Angeles","USA","@ChingonAbe I feel the same with porter winning ugly",FALSE,0,"ChingonAbe",2016-01-17 21:14:38,FALSE,"688831483922927616","688831820113276928","2843485494","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GLITTERROAD",0,FALSE,FALSE,"-76.9295654","38.8079996"
"Los Angeles","USA","Glasses are cool and I feel so chill. And yes, I'm furry.... I'll shave tomorrow. #sundayfunday‚Ä¶ https://t.co/pChYR5FdEg",FALSE,0,NA,2016-01-17 16:16:52,FALSE,NA,"688756885168762880",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","BMLS",0,FALSE,FALSE,"-77.1083","38.8803"
"Los Angeles","USA","Oh my coldness!!! I couldn't feel mah fingers! #runninglife‚Ä¶ https://t.co/27fIclwOnl",FALSE,0,NA,2016-01-17 14:52:03,FALSE,NA,"688735540082954241",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Dr_Lola_Mae",0,FALSE,FALSE,"-77.06370199","38.8016723"
"Los Angeles","USA","RT @PeopleOfThSun: Lol I see karla at school and yet I dont say hi. Because? Because I feel like shes gonna be like nigga tf is you?",FALSE,0,NA,2016-01-17 09:30:25,FALSE,NA,"688654599612403712",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iKarlioo",2,TRUE,FALSE,NA,NA
"Los Angeles","USA","""I can't feel my face when I'm with you. But I love it."" #ramen #tonkatsu @ SAKURAMEN https://t.co/Kt83g5mni3",FALSE,0,NA,2016-01-17 00:21:46,FALSE,NA,"688516528203956224",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","BruceChalupa",0,FALSE,FALSE,"-77.0419769","38.9215698"
"Los Angeles","USA","Words cannot honestly express how I feel after such an amazing day‚Ä¶ https://t.co/PtmqW75hHQ",FALSE,0,NA,2016-01-16 22:27:15,FALSE,NA,"688487707572596736",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","MistaLeVar",0,FALSE,FALSE,"-76.96449717","38.86050154"
